"bird","slope_dist_moved","slope_dist_release"
"Briar",-0.0701937629669871,0.418908869972909
"Nutmeg",0.0128496364036659,2.99000263205164
"Aurora",-0.0179318365634717,-0.696855663078067
"Robin",-0.00120914338589308,-2.324718615465
"Iona",0.00900826322912488,0.533106760376932
"Sage",-0.026419156997622,0.658100935321237
"Koda",0.00928399288454739,-0.518560012959206
"Brook",0.00138560897169917,-4.7471524938658
"Clover",0.00294162198223105,2.22601983621065
"Prem",-0.0107640739911296,-4.87191830162924
"Rove",0.00521673593327495,2.8589969125268
"Valentine",0.00941924570026322,-2.05337504267293
"Marmalade",0.0121901986836598,1.22132821791548
"Wobbles",0.518876400747137,37.9085374813755
