"date","id","mean","max","min","release"
2022-10-25,"Aurora",104.635652587705,207.570482342472,46.6904026790863,"October"
2022-10-25,"Robin",106.529090903942,130.15662447059,62.0913248531086,"October"
2022-10-26,"Aurora",56.336655619117,167.258688418692,2.08368093609733,"October"
2022-10-26,"Robin",150.655938585801,321.55590108793,42.3168227116432,"October"
2022-10-27,"Aurora",82.5379572712417,286.694613995085,4.12230836416601,"October"
2022-10-27,"Robin",90.8892382735811,407.355143103787,8.42845887686275,"October"
2022-10-28,"Aurora",237.770795492532,662.684486802233,36.1564204605647,"October"
2022-10-28,"Robin",379.153624559653,716.929584073131,136.035849502419,"October"
2022-10-29,"Aurora",112.612561935578,335.512512301786,5.23407049438207,"October"
2022-10-29,"Briar",305.536101188684,562.745738950829,81.6540511187459,"October"
2022-10-29,"Nutmeg",470.190813452298,936.652821314717,41.4955056683777,"October"
2022-10-29,"Robin",895.996307917547,1118.84851622861,561.742316973305,"October"
2022-10-30,"Aurora",493.226743270993,765.53490736271,22.5122911380064,"October"
2022-10-30,"Briar",841.774482941954,967.639697144388,506.981163199988,"October"
2022-10-30,"Nutmeg",487.933551100439,920.532551965465,83.5830182842436,"October"
2022-10-30,"Robin",860.051760594332,1040.43752661147,708.567118291452,"October"
2022-10-31,"Aurora",100.225974003854,448.541216775801,21.6994798013407,"October"
2022-10-31,"Briar",887.769835528941,984.737462479595,801.314910006223,"October"
2022-10-31,"Nutmeg",621.290643291924,701.195149656547,478.30008716653,"October"
2022-10-31,"Robin",956.615085199832,1271.43521017163,809.460856869266,"October"
2022-11-01,"Aurora",142.935628732588,275.531617840723,8.38634785954381,"October"
2022-11-01,"Briar",749.305177862578,990.584543908312,600.791880369829,"October"
2022-11-01,"Nutmeg",505.278894708088,863.849599638042,329.427640288778,"October"
2022-11-01,"Robin",659.523452833766,974.307363498521,420.250631822391,"October"
2022-11-02,"Aurora",106.637406559838,383.899299548771,3.4097722840891,"October"
2022-11-02,"Briar",855.927377525274,1152.76670174205,245.122206182957,"October"
2022-11-02,"Nutmeg",926.005288488753,1060.56188794875,741.728324130671,"October"
2022-11-02,"Robin",920.983548760248,1041.30628934577,760.773359400064,"October"
2022-11-03,"Aurora",135.056722733483,581.674821657682,6.17944646816033,"October"
2022-11-03,"Briar",912.18917728102,1041.05334510967,248.801098062523,"October"
2022-11-03,"Nutmeg",1126.28921916368,1276.38796625197,732.155413134818,"October"
2022-11-03,"Robin",1119.28602509173,1379.49534882361,717.555984164018,"October"
2022-11-04,"Aurora",184.825145003633,599.386489736796,28.3001146736044,"October"
2022-11-04,"Briar",989.001286357308,1373.48074994421,712.583501670363,"October"
2022-11-04,"Nutmeg",937.008923061195,1251.7358603515,769.499994760897,"October"
2022-11-04,"Robin",1091.86866418728,1220.64223963226,727.130862522015,"October"
2022-11-05,"Aurora",210.594048282865,539.486533920978,24.665872124783,"October"
2022-11-05,"Briar",1011.70834648871,1455.11444581879,825.462554198177,"October"
2022-11-05,"Nutmeg",958.412042193247,1268.83304543401,802.221229278249,"October"
2022-11-05,"Robin",980.556432788057,1148.68110751875,663.095294709476,"October"
2022-11-06,"Aurora",181.511151819009,524.059459952112,15.0557754908171,"October"
2022-11-06,"Briar",1259.86269251314,1415.764523592,717.31187230193,"October"
2022-11-06,"Nutmeg",1219.70531259984,1514.07228756387,868.674913024436,"October"
2022-11-06,"Robin",1053.20797210806,1239.95422201795,718.244987029283,"October"
2022-11-07,"Aurora",219.736635705821,552.758401094664,15.3318187078562,"October"
2022-11-07,"Briar",1225.05991214866,1428.10408864944,708.917705320276,"October"
2022-11-07,"Nutmeg",1271.9235890837,1443.07305307116,956.836422504262,"October"
2022-11-07,"Robin",1075.60026340968,1229.09534380498,732.009581289232,"October"
2022-11-08,"Aurora",196.295611156204,581.39457308485,10.9175742768301,"October"
2022-11-08,"Briar",1199.48093936128,1374.48325709301,581.687790747091,"October"
2022-11-08,"Nutmeg",1274.33137885611,1396.63292309546,1091.03024498337,"October"
2022-11-08,"Robin",907.273126524203,1105.1379825815,36.1961369326825,"October"
2022-11-09,"Aurora",106.174403128221,232.195845045709,4.79532216100291,"October"
2022-11-09,"Briar",1265.66154785627,1331.67667800445,767.47393831213,"October"
2022-11-09,"Nutmeg",1266.28111893194,1429.16425447235,804.579490595016,"October"
2022-11-09,"Robin",1106.94594505211,1355.52613038762,67.0853358338514,"October"
2022-11-10,"Aurora",114.096684451216,285.167539089552,15.6087082074346,"October"
2022-11-10,"Briar",1296.17121859227,1415.60447933334,1128.51736115563,"October"
2022-11-10,"Nutmeg",1279.75923927225,1391.68070656177,940.608798210253,"October"
2022-11-10,"Robin",1288.11770502456,1369.38544522907,984.78489888739,"October"
2022-11-11,"Aurora",84.6483361947362,237.297060150739,3.40154623788833,"October"
2022-11-11,"Briar",1214.6842673214,1436.78016988397,697.876468837976,"October"
2022-11-11,"Nutmeg",1278.25626059412,1464.70980914719,935.103585130771,"October"
2022-11-11,"Robin",1239.09115416172,1466.81794223831,793.596086980095,"October"
2022-11-12,"Aurora",84.2786777111519,286.899744930069,3.51971858855703,"October"
2022-11-12,"Briar",1266.35476744521,1391.42214511796,738.129735607151,"October"
2022-11-12,"Nutmeg",1265.1004342483,1397.3963990696,746.509531892247,"October"
2022-11-12,"Robin",1265.5796155201,1340.95237490229,721.164627809945,"October"
2022-11-13,"Aurora",106.577892362323,327.350770172406,11.59599746166,"October"
2022-11-13,"Briar",1224.87088253271,1526.9275667796,699.526995223771,"October"
